$GPRMC,054806,A,276.347,S,11545.205,W,17.4,252.3,030324,,,*33
$GPRMC,044152,A,635.924,N,02558.257,E,92.3,32.2,230775,,,*0D
$GPRMC,005204,A,3435.991,N,01436.708,E,26.4,96.8,180471,,,*31
$GPRMC,202501,A,2446.216,S,07329.415,W,23.1,36.5,310627,,,*35
$GPRMC,082237,A,0542.391,N,1207.369,W,53.7,325.5,311167,,,*2C
$GPRMC,202609,A,6443.372,S,03028.752,W,26.4,184.2,190853,,,*02
$GPRMC,151532,A,335.868,S,10055.640,W,1.9,166.2,160350,,,*05
$GPRMC,083842,A,4030.515,N,15334.656,W,76.7,314.5,071067,,,*17
$GPRMC,020626,A,6044.018,S,12858.493,E,70.1,318.6,080970,,,*17
$GPRMC,004005,A,2340.858,S,10959.628,W,21.9,346.9,240707,,,*03
$GPRMC,224225,A,0926.279,S,1085.244,W,46.4,173.6,050519,,,*3D
$GPRMC,150357,A,2810.282,N,14553.805,W,76.5,27.6,161171,,,*28
$GPRMC,055157,A,6447.432,N,14832.059,W,23.0,350.7,060127,,,*16
$GPRMC,062419,V,4146.320,N,15539.026,E,93.7,292.4,280735,,,*1C
$GPRMC,024602,A,1321.620,S,04013.990,E,24.7,348.6,240271,,,*17
$GPRMC,085902,A,5150.632,S,12951.825,E,62.2,339.9,170758,,,*17
$GPRMC,050548,A,5039.381,N,00239.819,E,16.8,247.5,280726,,,*02
$GPRMC,050102,A,6312.610,N,06127.029,W,68.7,71.7,020155,,,*26
$GPRMC,171858,A,600.532,S,09147.851,E,29.3,59.5,071029,,,*17
$GPRMC,223420,A,4258.378,N,14242.325,E,29.3,27.2,111105,,,*C3
$GPRMC,155155,A,4243.924,N,05211.073,E,54.3,140.3,190433,,,*04
$GPRMC,120540,A,5555.111,S,0252.303,E,5.6,10.2,200353,,,*D2
$GPRMC,205304,A,5821.661,N,17545.823,E,96.0,0.1,160217,,,*F7
$GPRMC,181755,A,6415.464,S,04951.756,E,81.9,111.6,161281,,,*14
$GPRMC,193040,V,3739.374,N,0214.020,E,87.7,78.3,040490,,,*1F
$GPRMC,030906,A,6932.233,S,15916.296,W,13.0,8.5,060915,,,*0D
$GPRMC,055739,A,5435.084,S,07843.772,W,8.5,61.2,050318,,,*05
$GPRMC,034201,A,320.309,S,15011.442,E,56.3,17.5,060751,,,*13
$GPRMC,055427,A,7536.761,S,00512.414,W,69.1,104.0,200491,,,*0A
$GPRMC,224718,A,2613.100,S,17758.876,E,57.0,338.0,020335,,,*19
$GPRMC,174925,A,6855.822,S,05812.162,E,3.8,284.8,060664,,,*DD
$GPRMC,114627,A,3150.960,S,11956.205,E,95.2,205.0,300621,,,*EE
$GPRMC,024223,A,7754.588,N,14253.193,E,80.0,314.0,070485,,,*0A
$GPRMC,113058,A,716.611,N,06319.098,W,50.6,62.1,080818,,,*18
$GPRMC,003242,A,1718.395,S,15623.288,W,30.3,86.9,310423,,,*38
$GPRMC,222136,A,1346.033,N,13123.791,W,84.1,143.4,221112,,,*14
$GPRMC,004931,A,7420.483,S,02617.901,W,74.8,266.2,020348,,,*03
$GPRMC,050501,V,3131.990,N,04243.577,E,8.1,83.8,230307,,,*1C
$GPRMC,122533,A,823.711,N,05653.774,W,68.5,15.4,031185,,,*1D
$GPRMC,020726,A,6859.016,S,02156.902,W,9.2,210.1,100105,,,*3D
$GPRMC,181339,A,1729.730,N,17819.375,E,95.0,31.6,230585,,,*3F
$GPRMC,043320,A,8624.519,N,02937.639,W,22.0,266.1,010413,,,*E8
$GPRMC,140249,A,0057.699,N,15725.544,W,60.2,243.3,310461,,,*E0
